scenario,kernel,rotated,R,N,d,K,rep,rel_l2,fit_time,timestamp
A_approx_R,matern,True,40,500,2,25,0,0.7745307161697759,17.623349905014038,1765209796.1665168
A_approx_R,matern,True,40,500,2,25,1,0.7848633528247518,17.72325348854065,1765209830.8925872
A_approx_R,matern,True,40,500,2,25,2,0.783533207645112,17.7544949054718,1765209865.4924562
B_convergence,brownian,,20,50,2,25,0,0.7674588718726775,3.460015058517456,1765209873.2058866
B_convergence,brownian,,20,100,2,25,0,0.8000729784198465,3.9504919052124023,1765209882.601946
B_convergence,brownian,,20,200,2,25,0,0.8113085832548449,5.900861740112305,1765209896.0432725
B_convergence,brownian,,20,500,2,25,0,0.827444986147715,18.8188636302948,1765209929.5333905
B_convergence,brownian,,20,1000,2,25,0,0.8054394850389566,56.47710561752319,1765210011.3689764
B_convergence,brownian,,20,50,2,25,1,0.9621560982042897,4.088969469070435,1765210019.9659972
B_convergence,brownian,,20,100,2,25,1,0.882886835033044,4.033779621124268,1765210029.4756773
B_convergence,brownian,,20,200,2,25,1,0.8301823354164803,6.048321008682251,1765210043.0108616
B_convergence,brownian,,20,500,2,25,1,0.8376056953056543,17.178374767303467,1765210073.9519944
B_convergence,brownian,,20,1000,2,25,1,0.8008876519878588,54.93441700935364,1765210154.0837636
B_convergence,brownian,,20,50,2,25,2,0.816526227288755,3.5214271545410156,1765210161.7886047
B_convergence,brownian,,20,100,2,25,2,0.789377775043537,3.9527201652526855,1765210170.9952216
B_convergence,brownian,,20,200,2,25,2,0.7807548847292123,5.844259977340698,1765210184.35224
B_convergence,brownian,,20,500,2,25,2,0.7962295295161985,17.15081763267517,1765210215.669598
B_convergence,brownian,,20,1000,2,25,2,0.8404386516982011,55.24206757545471,1765210295.5463023
B_convergence,ibm,,20,50,2,25,0,1.1308816432966873,3.7466237545013428,1765210315.3729894
B_convergence,ibm,,20,100,2,25,0,0.9885742885493164,4.1284661293029785,1765210335.0092618
B_convergence,ibm,,20,200,2,25,0,1.0342622419664955,6.049595594406128,1765210362.2099602
B_convergence,ibm,,20,500,2,25,0,1.0769209787986829,16.834404230117798,1765210416.2074158
B_convergence,ibm,,20,1000,2,25,0,1.0329853461771312,57.138681411743164,1765210536.6645033
B_convergence,ibm,,20,50,2,25,1,1.0556436543770966,3.9922046661376953,1765210553.944964
B_convergence,ibm,,20,100,2,25,1,0.9980902531895648,4.07665491104126,1765210573.2169414
B_convergence,ibm,,20,200,2,25,1,1.0649461049813655,5.935199975967407,1765210599.5399797
B_convergence,ibm,,20,500,2,25,1,1.0697726559433998,17.190451860427856,1765210654.2501416
B_convergence,ibm,,20,1000,2,25,1,1.0682372809023395,54.685869216918945,1765210772.4590912
B_convergence,ibm,,20,50,2,25,2,1.0711991686105846,3.5715172290802,1765210788.6881835
B_convergence,ibm,,20,100,2,25,2,1.1273949952568287,4.101229906082153,1765210808.3510637
B_convergence,ibm,,20,200,2,25,2,1.1246825944199232,6.2675158977508545,1765210836.158297
B_convergence,ibm,,20,500,2,25,2,1.0751877246149728,17.524771451950073,1765210891.9311495
B_convergence,ibm,,20,1000,2,25,2,1.081503523284131,54.16944980621338,1765211009.556277
B_convergence,matern,,20,50,2,25,0,1.120809242099726,3.705695390701294,1765211018.4502394
B_convergence,matern,,20,100,2,25,0,0.9624572014079371,4.125356197357178,1765211028.8190508
B_convergence,matern,,20,200,2,25,0,0.9793099181853033,6.08807373046875,1765211043.8955462
B_convergence,matern,,20,500,2,25,0,0.8693189024119256,16.772207021713257,1765211077.7190845
B_convergence,matern,,20,1000,2,25,0,0.8535269749031391,56.985288858413696,1765211164.4609878
B_convergence,matern,,20,50,2,25,1,0.9941833059484732,3.7136662006378174,1765211173.1686325
B_convergence,matern,,20,100,2,25,1,0.8936718728893035,4.0708513259887695,1765211183.6037412
B_convergence,matern,,20,200,2,25,1,0.8991265326347777,5.964836835861206,1765211198.6000118
B_convergence,matern,,20,500,2,25,1,0.9606504893145901,17.09309220314026,1765211232.9012752
B_convergence,matern,,20,1000,2,25,1,0.8603560594632115,54.299896001815796,1765211317.3342295
B_convergence,matern,,20,50,2,25,2,0.9262830540874103,3.6958816051483154,1765211326.0316346
B_convergence,matern,,20,100,2,25,2,0.9842350886126412,4.157315254211426,1765211336.6686726
B_convergence,matern,,20,200,2,25,2,0.9814833603393506,6.169145107269287,1765211352.2108636
B_convergence,matern,,20,500,2,25,2,0.8345926574663284,16.727229118347168,1765211385.9819193
B_convergence,matern,,20,1000,2,25,2,0.9393918860319285,54.243706464767456,1765211471.3521876
